[2019-04-27 17:28:08,746] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 17:28:08,746] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 17:28:08,746] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 17:28:08,746] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 17:28:08,746] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 17:28:08,746] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 18:07:34,518] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
