21.04,1242.1426315789474,0.052
25.5,1259.2789743589738,0.051
26.09,1263.5192105263159,0.0
26.17,1224.9993478260872,0.152
26.18,1170.708913043478,0.108
26.26,1189.7755319148937,0.17
26.34,1229.463139534884,0.035
26.42,1185.9680851063833,0.106
26.58,1189.1774999999998,0.068
26.6,1195.0744086021505,0.107
26.8,1223.1497222222224,0.083
26.85,1258.390208333333,0.083
26.86,1228.1011904761906,0.095
27.09,1220.3604545454543,0.091
27.12,1216.9467441860463,0.081
27.13,1269.4402272727273,0.136
27.16,1228.152641509434,0.094
27.19,1191.808611111111,0.055
27.25,1223.5346067415728,0.056
27.26,1240.1312820512824,0.102
27.27,1270.8137704918033,0.016
27.29,1214.8216216216215,0.027
27.3,1222.8826415094338,0.123
27.31,1273.469339622641,0.104
27.32,1278.2385,0.1
27.33,1231.0693617021275,0.021
27.34,1162.3334782608697,0.065
27.39,1250.5248837209306,0.046
27.45,1268.5098181818178,0.109
27.46,1203.8064999999995,0.125
27.52,1230.2688461538462,0.0
27.55,1200.3427083333331,0.187
27.62,1223.654772727273,0.091
27.63,1203.4586792452828,0.395
27.64,1245.4293478260865,0.022
27.65,1273.5048780487803,0.073
28.2,1189.0002325581395,0.07
30.3,1260.384186046512,0.07
30.45,1234.51975,0.0
30.65,1267.9310810810807,0.067
30.7,1215.4708333333333,0.055
30.93,1217.0888095238092,0.119
30.94,1239.5437837837837,0.108
